spatial_unit,origin_country,year,month,arrivals,avg_nights_per_arrival,nights,county_key,county_label,spatial_level
County of Bjelovar-Bilogora,Countries - total,2020,1,1644.0,3.3,5451.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,2,1460.0,3.2,4655.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,3,628.0,4.4,2751.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,4,30.0,3.2,96.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,5,152.0,1.9,290.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,6,748.0,2.7,2022.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,7,1116.0,2.8,3089.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,8,1330.0,3.6,4741.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,9,1158.0,3.8,4389.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,10,1026.0,3.6,3648.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,11,549.0,4.0,2182.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2020,12,337.0,3.9,1310.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,1,549.0,2.9,1588.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,2,944.0,2.6,2479.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,3,788.0,3.3,2583.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,4,679.0,3.1,2086.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,5,916.0,3.4,3085.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,6,1414.0,3.2,4576.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,7,1709.0,3.2,5532.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,8,2202.0,3.1,6878.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,9,1960.0,3.3,6390.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,10,1791.0,3.3,5846.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,11,1189.0,3.7,4399.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2021,12,1186.0,3.0,3600.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,1,1057.0,3.5,3678.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,2,1247.0,3.4,4252.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,3,1327.0,3.5,4590.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,4,1657.0,3.1,5056.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,5,1842.0,3.0,5557.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,6,2108.0,2.7,5629.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,7,2161.0,3.2,6966.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,8,2500.0,3.2,8078.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,9,2275.0,2.9,6663.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,10,2203.0,2.9,6308.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,11,1885.0,3.1,5930.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2022,12,2125.0,2.6,5612.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,1,1984.0,3.2,6378.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,2,2184.0,2.7,5903.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,3,2092.0,3.2,6623.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,4,2249.0,2.9,6506.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,5,2342.0,2.8,6561.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,6,2505.0,2.7,6853.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,7,2837.0,3.2,9117.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,8,2739.0,3.4,9290.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,9,2492.0,2.8,6945.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,10,2238.0,2.6,5900.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,11,2874.0,2.4,6978.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2023,12,2439.0,2.5,6048.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,1,1922.0,3.2,6140.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,2,1982.0,3.0,6006.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,3,1891.0,3.2,6098.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,4,2192.0,2.9,6341.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,5,2565.0,2.7,6970.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,6,2330.0,3.0,6991.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,7,2739.0,3.6,9821.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,8,3288.0,3.2,10622.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,9,2763.0,2.7,7457.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,10,2390.0,2.6,6150.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,11,2321.0,2.7,6284.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2024,12,2199.0,2.4,5378.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,1,1771.0,2.8,5022.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,2,1377.0,2.5,3449.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,3,1600.0,2.7,4305.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,4,1585.0,2.8,4495.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,5,2584.0,2.2,5770.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,6,2405.0,2.7,6442.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,7,2357.0,3.3,7825.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,8,2718.0,3.3,8855.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,9,2289.0,2.5,5710.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,10,1985.0,2.3,4576.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Bjelovar-Bilogora,Countries - total,2025,11,1764.0,2.2,3910.0,bjelovarsko bilogorska,County of Bjelovar-Bilogora,county
County of Dubrovnik-Neretva,Countries - total,2020,1,12909.0,2.6,33071.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,2,30999.0,1.6,51139.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,3,15204.0,2.1,32432.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,4,81.0,28.3,2296.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,5,2405.0,3.2,7778.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,6,32980.0,4.5,146858.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,7,126329.0,6.0,762044.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,8,173289.0,6.1,1054956.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,9,40879.0,5.7,232653.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,10,12364.0,4.4,54565.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,11,4727.0,3.9,18398.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2020,12,2940.0,3.8,11209.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,1,2407.0,3.7,8819.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,2,3769.0,2.7,10152.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,3,4868.0,3.1,14874.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,4,10005.0,3.2,32512.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,5,23464.0,3.4,79913.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,6,83701.0,4.4,369445.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,7,251965.0,5.2,1308795.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,8,321857.0,5.4,1734139.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,9,174078.0,4.7,811795.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,10,69352.0,3.9,269817.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,11,11325.0,3.2,35866.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2021,12,10570.0,2.7,28311.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,1,7915.0,3.4,26819.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,2,10378.0,3.1,32138.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,3,26828.0,2.2,58195.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,4,88169.0,3.0,268611.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,5,141202.0,3.4,485421.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,6,235169.0,4.2,987390.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,7,373723.0,4.9,1816552.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,8,384670.0,5.1,1947676.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,9,244161.0,4.2,1037128.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,10,128408.0,3.4,437171.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,11,30195.0,2.4,72140.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2022,12,18127.0,2.3,41507.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,1,12045.0,2.7,32573.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,2,17245.0,2.1,36957.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,3,50576.0,1.9,96264.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,4,135914.0,2.7,366628.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,5,203860.0,3.1,640335.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,6,276751.0,4.0,1093518.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,7,402374.0,4.6,1844082.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,8,402973.0,4.8,1934934.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,9,277375.0,4.0,1098536.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,10,160192.0,3.1,497605.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,11,39070.0,1.9,75065.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2023,12,22388.0,2.1,45988.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,1,11560.0,2.8,32468.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,2,21572.0,2.1,44226.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,3,49132.0,2.0,99861.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,4,148614.0,2.9,431514.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,5,244914.0,3.2,792156.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,6,310105.0,3.8,1187046.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,7,408780.0,4.6,1887035.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,8,418424.0,4.7,1950345.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,9,291589.0,3.9,1141520.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,10,176696.0,3.3,585630.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,11,41762.0,2.2,92322.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2024,12,23910.0,2.1,49585.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,1,11606.0,2.6,29642.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,2,17674.0,2.3,41462.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,3,37006.0,2.4,89468.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,4,156665.0,3.1,486533.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,5,245671.0,3.2,776130.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,6,327767.0,3.8,1250661.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,7,412759.0,4.6,1893029.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,8,426933.0,4.6,1953136.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,9,300078.0,3.9,1162210.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,10,176352.0,3.3,585835.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
County of Dubrovnik-Neretva,Countries - total,2025,11,33445.0,2.6,86080.0,dubrovacko neretvanska,County of Dubrovnik-Neretva,county
City of Zagreb,Countries - total,2020,1,61665.0,2.1,131272.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,2,56771.0,2.0,115070.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,3,19809.0,2.5,49907.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,4,770.0,12.7,9787.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,5,5205.0,3.3,17000.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,6,23568.0,2.1,50304.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,7,37711.0,2.0,74534.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,8,42367.0,1.9,82040.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,9,33251.0,2.3,75695.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,10,28719.0,2.7,76446.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,11,18506.0,3.0,55489.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2020,12,14130.0,3.0,42533.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,1,15178.0,2.8,42620.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,2,18634.0,2.5,47058.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,3,22545.0,2.6,57614.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,4,27192.0,2.7,72771.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,5,34937.0,2.5,85815.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,6,46935.0,2.2,104131.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,7,84321.0,1.9,159511.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,8,104243.0,1.8,191736.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,9,82699.0,2.1,169955.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,10,69709.0,2.2,156699.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,11,54051.0,2.4,128002.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2021,12,74351.0,2.1,159336.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,1,42647.0,2.4,104437.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,2,45493.0,2.3,103657.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,3,58501.0,2.3,132138.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,4,74964.0,2.3,170046.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,5,87939.0,2.1,183582.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,6,99564.0,2.0,203908.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,7,128980.0,1.9,246146.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,8,140908.0,1.8,257483.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,9,117507.0,1.9,226916.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,10,100704.0,2.1,208745.0,grad zagreb,City of Zagreb,city
City of Zagreb,Countries - total,2022,11,74731.0,2.1,159065.0,grad zagreb,City of Zagreb,city
