month,month_name,year,segment,metric,value
1,January,2020,domestic,arrivals,97195.0
1,January,2020,domestic,nights,223590.0
1,January,2020,foreign,arrivals,122538.0
1,January,2020,foreign,nights,321170.0
1,January,2020,total,arrivals,219733.0
1,January,2020,total,nights,544760.0
2,February,2020,domestic,arrivals,106731.0
2,February,2020,domestic,nights,214816.0
2,February,2020,foreign,arrivals,172010.0
2,February,2020,foreign,nights,395675.0
2,February,2020,total,arrivals,278741.0
2,February,2020,total,nights,610491.0
3,March,2020,domestic,arrivals,43261.0
3,March,2020,domestic,nights,105928.0
3,March,2020,foreign,arrivals,61130.0
3,March,2020,foreign,nights,183693.0
3,March,2020,total,arrivals,104391.0
3,March,2020,total,nights,289621.0
4,April,2020,domestic,arrivals,1483.0
4,April,2020,domestic,nights,8062.0
4,April,2020,foreign,arrivals,758.0
4,April,2020,foreign,nights,26001.0
4,April,2020,total,arrivals,2241.0
4,April,2020,total,nights,34063.0
5,May,2020,domestic,arrivals,30501.0
5,May,2020,domestic,nights,65803.0
5,May,2020,foreign,arrivals,31548.0
5,May,2020,foreign,nights,101172.0
5,May,2020,total,arrivals,62049.0
5,May,2020,total,nights,166975.0
6,June,2020,domestic,arrivals,156180.0
6,June,2020,domestic,nights,456937.0
6,June,2020,foreign,arrivals,641516.0
6,June,2020,foreign,nights,3131747.0
6,June,2020,total,arrivals,797696.0
6,June,2020,total,nights,3588684.0
7,July,2020,domestic,arrivals,277404.0
7,July,2020,domestic,nights,1324271.0
7,July,2020,foreign,arrivals,1968427.0
7,July,2020,foreign,nights,13341772.0
7,July,2020,total,arrivals,2245831.0
7,July,2020,total,nights,14666043.0
8,August,2020,domestic,arrivals,412158.0
8,August,2020,domestic,nights,2171352.0
8,August,2020,foreign,arrivals,2055799.0
8,August,2020,foreign,nights,14525909.0
8,August,2020,total,arrivals,2467957.0
8,August,2020,total,nights,16697261.0
9,September,2020,domestic,arrivals,133333.0
9,September,2020,domestic,nights,409387.0
9,September,2020,foreign,arrivals,354879.0
9,September,2020,foreign,nights,2716678.0
9,September,2020,total,arrivals,488212.0
9,September,2020,total,nights,3126065.0
10,October,2020,domestic,arrivals,95791.0
10,October,2020,domestic,nights,211064.0
10,October,2020,foreign,arrivals,88802.0
10,October,2020,foreign,nights,406863.0
10,October,2020,total,arrivals,184593.0
10,October,2020,total,nights,617927.0
11,November,2020,domestic,arrivals,55042.0
11,November,2020,domestic,nights,122388.0
11,November,2020,foreign,arrivals,32182.0
11,November,2020,foreign,nights,146210.0
11,November,2020,total,arrivals,87224.0
11,November,2020,total,nights,268598.0
12,December,2020,domestic,arrivals,46770.0
12,December,2020,domestic,nights,101793.0
12,December,2020,foreign,arrivals,15690.0
12,December,2020,foreign,nights,82174.0
12,December,2020,total,arrivals,62460.0
12,December,2020,total,nights,183967.0
1,January,2021,domestic,arrivals,71235.0
1,January,2021,domestic,nights,173395.0
1,January,2021,foreign,arrivals,16399.0
1,January,2021,foreign,nights,75613.0
1,January,2021,total,arrivals,87634.0
1,January,2021,total,nights,249008.0
2,February,2021,domestic,arrivals,83717.0
2,February,2021,domestic,nights,166224.0
2,February,2021,foreign,arrivals,20357.0
2,February,2021,foreign,nights,78933.0
2,February,2021,total,arrivals,104074.0
2,February,2021,total,nights,245157.0
3,March,2021,domestic,arrivals,87978.0
3,March,2021,domestic,nights,184123.0
3,March,2021,foreign,arrivals,44647.0
3,March,2021,foreign,nights,175491.0
3,March,2021,total,arrivals,132625.0
3,March,2021,total,nights,359614.0
4,April,2021,domestic,arrivals,121258.0
4,April,2021,domestic,nights,272392.0
4,April,2021,foreign,arrivals,98363.0
4,April,2021,foreign,nights,395675.0
4,April,2021,total,arrivals,219621.0
4,April,2021,total,nights,668067.0
5,May,2021,domestic,arrivals,132310.0
5,May,2021,domestic,nights,308239.0
5,May,2021,foreign,arrivals,274920.0
5,May,2021,foreign,nights,1193525.0
5,May,2021,total,arrivals,407230.0
5,May,2021,total,nights,1501764.0
6,June,2021,domestic,arrivals,275211.0
6,June,2021,domestic,nights,854363.0
6,June,2021,foreign,arrivals,1095289.0
6,June,2021,foreign,nights,5663171.0
6,June,2021,total,arrivals,1370500.0
6,June,2021,total,nights,6517534.0
7,July,2021,domestic,arrivals,367727.0
7,July,2021,domestic,nights,1731519.0
7,July,2021,foreign,arrivals,3165024.0
7,July,2021,foreign,nights,19224696.0
7,July,2021,total,arrivals,3532751.0
7,July,2021,total,nights,20956215.0
8,August,2021,domestic,arrivals,395740.0
8,August,2021,domestic,nights,2236043.0
8,August,2021,foreign,arrivals,3671560.0
8,August,2021,foreign,nights,23962064.0
8,August,2021,total,arrivals,4067300.0
8,August,2021,total,nights,26198107.0
9,September,2021,domestic,arrivals,194798.0
9,September,2021,domestic,nights,586219.0
9,September,2021,foreign,arrivals,1565880.0
9,September,2021,foreign,nights,9604527.0
9,September,2021,total,arrivals,1760678.0
9,September,2021,total,nights,10190746.0
10,October,2021,domestic,arrivals,174813.0
10,October,2021,domestic,nights,375705.0
10,October,2021,foreign,arrivals,462001.0
10,October,2021,foreign,nights,1810041.0
10,October,2021,total,arrivals,636814.0
10,October,2021,total,nights,2185746.0
11,November,2021,domestic,arrivals,112805.0
11,November,2021,domestic,nights,238674.0
11,November,2021,foreign,arrivals,107767.0
11,November,2021,foreign,nights,337396.0
11,November,2021,total,arrivals,220572.0
11,November,2021,total,nights,576070.0
12,December,2021,domestic,arrivals,117393.0
12,December,2021,domestic,nights,227236.0
12,December,2021,foreign,arrivals,118602.0
12,December,2021,foreign,nights,326695.0
12,December,2021,total,arrivals,235995.0
12,December,2021,total,nights,553931.0
1,January,2022,domestic,arrivals,99362.0
1,January,2022,domestic,nights,245189.0
1,January,2022,foreign,arrivals,73506.0
1,January,2022,foreign,nights,260115.0
1,January,2022,total,arrivals,172868.0
1,January,2022,total,nights,505304.0
2,February,2022,domestic,arrivals,109806.0
2,February,2022,domestic,nights,235526.0
2,February,2022,foreign,arrivals,115705.0
2,February,2022,foreign,nights,334401.0
2,February,2022,total,arrivals,225511.0
2,February,2022,total,nights,569927.0
3,March,2022,domestic,arrivals,123788.0
3,March,2022,domestic,nights,253792.0
3,March,2022,foreign,arrivals,191166.0
3,March,2022,foreign,nights,558377.0
3,March,2022,total,arrivals,314954.0
3,March,2022,total,nights,812169.0
4,April,2022,domestic,arrivals,190769.0
4,April,2022,domestic,nights,428133.0
4,April,2022,foreign,arrivals,641916.0
4,April,2022,foreign,nights,2097215.0
4,April,2022,total,arrivals,832685.0
4,April,2022,total,nights,2525348.0
5,May,2022,domestic,arrivals,254882.0
5,May,2022,domestic,nights,563053.0
5,May,2022,foreign,arrivals,976312.0
5,May,2022,foreign,nights,3700789.0
5,May,2022,total,arrivals,1231194.0
5,May,2022,total,nights,4263842.0
6,June,2022,domestic,arrivals,289528.0
6,June,2022,domestic,nights,904160.0
6,June,2022,foreign,arrivals,2369160.0
6,June,2022,foreign,nights,12166401.0
6,June,2022,total,arrivals,2658688.0
6,June,2022,total,nights,13070561.0
7,July,2022,domestic,arrivals,335216.0
7,July,2022,domestic,nights,1578055.0
7,July,2022,foreign,arrivals,4005988.0
7,July,2022,foreign,nights,23685799.0
7,July,2022,total,arrivals,4341204.0
7,July,2022,total,nights,25263854.0
8,August,2022,domestic,arrivals,366067.0
8,August,2022,domestic,nights,1998590.0
8,August,2022,foreign,arrivals,4012753.0
8,August,2022,foreign,nights,25529639.0
8,August,2022,total,arrivals,4378820.0
8,August,2022,total,nights,27528229.0
9,September,2022,domestic,arrivals,206019.0
9,September,2022,domestic,nights,600884.0
9,September,2022,foreign,arrivals,1867403.0
9,September,2022,foreign,nights,10531248.0
9,September,2022,total,arrivals,2073422.0
9,September,2022,total,nights,11132132.0
10,October,2022,domestic,arrivals,200605.0
10,October,2022,domestic,nights,420757.0
10,October,2022,foreign,arrivals,691346.0
10,October,2022,foreign,nights,2406757.0
10,October,2022,total,arrivals,891951.0
10,October,2022,total,nights,2827514.0
11,November,2022,domestic,arrivals,139989.0
11,November,2022,domestic,nights,274760.0
11,November,2022,foreign,arrivals,184196.0
11,November,2022,foreign,nights,526434.0
