spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Republic of Croatia,2021,28.1,56561.5,12775794.0,330.0,225.9,5.5,64.6,19.2,70201959.0,1813.1,1241.2,1086644.0,68.0,3871833.0,country,republic of croatia
Republic of Croatia,2022,29.1,56561.5,17774958.0,459.1,314.3,5.1,79.8,20.0,90040177.0,2325.5,1591.9,1128454.0,68.0,3871833.0,country,republic of croatia
Republic of Croatia,2023,29.7,56561.5,19492931.0,503.5,344.6,4.7,80.3,20.3,92376832.0,2385.9,1633.2,1150436.0,68.0,3871833.0,country,republic of croatia
Republic of Croatia,2024,30.5,56561.5,20246060.0,522.9,357.9,4.6,79.5,20.8,93683814.0,2419.6,1656.3,1179090.0,68.0,3871833.0,country,republic of croatia
County of Bjelovar-Bilogora,2021,0.9,2638.62,15327.0,15.0,5.8,3.2,50.9,0.4,49042.0,48.1,18.6,964.0,39.0,101879.0,county,bjelovarsko bilogorska
County of Bjelovar-Bilogora,2022,1.1,2638.62,22387.0,22.0,8.5,3.1,58.6,0.4,68319.0,67.1,25.9,1166.0,39.0,101879.0,county,bjelovarsko bilogorska
County of Bjelovar-Bilogora,2023,1.2,2638.62,28975.0,28.4,11.0,2.9,68.9,0.5,83102.0,81.6,31.5,1206.0,39.0,101879.0,county,bjelovarsko bilogorska
County of Bjelovar-Bilogora,2024,1.5,2638.62,28582.0,28.1,10.8,2.9,54.4,0.6,84258.0,82.7,31.9,1548.0,39.0,101879.0,county,bjelovarsko bilogorska
County of Dubrovnik-Neretva,2021,65.8,1782.64,967361.0,837.1,542.7,4.9,61.9,42.7,4704438.0,4070.9,2639.0,76030.0,65.0,115564.0,county,dubrovacko neretvanska
County of Dubrovnik-Neretva,2022,70.8,1782.64,1688945.0,1461.5,947.4,4.3,88.1,45.9,7210748.0,6239.6,4045.0,81866.0,65.0,115564.0,county,dubrovacko neretvanska
County of Dubrovnik-Neretva,2023,72.5,1782.64,2000763.0,1731.3,1122.4,3.9,92.7,47.0,7762485.0,6717.0,4354.5,83763.0,65.0,115564.0,county,dubrovacko neretvanska
County of Dubrovnik-Neretva,2024,73.7,1782.64,2147058.0,1857.9,1204.4,3.9,97.4,47.8,8293708.0,7176.7,4652.5,85152.0,65.0,115564.0,county,dubrovacko neretvanska
County of Istria,2021,149.1,2814.44,3372081.0,1727.2,1198.1,6.4,74.7,103.4,21734119.0,11132.2,7722.4,291130.0,69.0,195237.0,county,istria
County of Istria,2022,152.5,2814.44,4583914.0,2347.9,1628.7,6.0,93.0,105.8,27690426.0,14183.0,9838.7,297747.0,69.0,195237.0,county,istria
County of Istria,2023,155.7,2814.44,4832877.0,2475.4,1717.2,5.8,92.5,108.0,28121131.0,14403.6,9991.7,303963.0,69.0,195237.0,county,istria
County of Istria,2024,157.5,2814.44,4873947.0,2496.4,1731.8,5.7,90.8,109.3,27907047.0,14293.9,9915.7,307487.0,69.0,195237.0,county,istria
County of Karlovac,2021,12.6,3624.42,219858.0,196.0,60.7,1.8,28.2,3.9,400388.0,356.9,110.5,14183.0,31.0,112195.0,county,karlovacka
County of Karlovac,2022,13.6,3624.42,292865.0,261.0,80.8,1.9,36.4,4.2,553213.0,493.1,152.6,15207.0,31.0,112195.0,county,karlovacka
County of Karlovac,2023,13.0,3624.42,345613.0,308.0,95.4,1.8,42.7,4.0,622764.0,555.1,171.8,14568.0,31.0,112195.0,county,karlovacka
County of Karlovac,2024,14.8,3624.42,336919.0,300.3,93.0,1.8,36.1,4.6,599607.0,534.4,165.4,16621.0,31.0,112195.0,county,karlovacka
County of Koprivnica-Križevci,2021,1.0,1747.94,13125.0,13.0,7.5,2.1,27.3,0.6,27561.0,27.2,15.8,1010.0,58.0,101221.0,county,koprivnicko krizevacka
County of Koprivnica-Križevci,2022,1.1,1747.94,18011.0,17.8,10.3,2.1,32.2,0.7,36987.0,36.5,21.2,1149.0,58.0,101221.0,county,koprivnicko krizevacka
County of Koprivnica-Križevci,2023,1.0,1747.94,19119.0,18.9,10.9,2.4,43.1,0.6,44950.0,44.4,25.7,1043.0,58.0,101221.0,county,koprivnicko krizevacka
County of Koprivnica-Križevci,2024,1.1,1747.94,17785.0,17.6,10.2,2.4,36.5,0.7,41870.0,41.4,24.0,1148.0,58.0,101221.0,county,koprivnicko krizevacka
County of Krapina-Zagorje,2021,2.7,1229.62,151644.0,125.6,123.3,2.1,96.7,2.7,315268.0,261.2,256.4,3259.0,98.0,120702.0,county,krapinsko zagorska
County of Krapina-Zagorje,2022,2.7,1229.62,177266.0,146.9,144.2,2.2,116.9,2.7,383672.0,317.9,312.0,3282.0,98.0,120702.0,county,krapinsko zagorska
County of Krapina-Zagorje,2023,2.8,1229.62,191603.0,158.7,155.8,2.2,122.0,2.8,414222.0,343.2,336.9,3395.0,98.0,120702.0,county,krapinsko zagorska
County of Krapina-Zagorje,2024,3.0,1229.62,203259.0,168.4,165.3,2.1,120.8,2.9,435659.0,360.9,354.3,3607.0,98.0,120702.0,county,krapinsko zagorska
County of Lika-Senj,2021,91.7,5355.07,484408.0,1133.2,90.5,4.6,56.5,7.3,2213140.0,5177.2,413.3,39193.0,8.0,42748.0,county,licko senjska
County of Lika-Senj,2022,96.2,5355.07,651122.0,1523.2,121.6,4.3,68.5,7.7,2815862.0,6587.1,525.8,41109.0,8.0,42748.0,county,licko senjska
County of Lika-Senj,2023,101.1,5355.07,747112.0,1747.7,139.5,3.9,67.2,8.1,2903811.0,6792.9,542.3,43229.0,8.0,42748.0,county,licko senjska
County of Lika-Senj,2024,102.6,5355.07,770633.0,1802.7,143.9,3.8,67.0,8.2,2940355.0,6878.3,549.1,43870.0,8.0,42748.0,county,licko senjska
County of Međimurje,2021,1.8,729.26,64051.0,60.9,87.8,2.2,75.0,2.6,144061.0,136.9,197.5,1922.0,144.0,105250.0,county,medimurska
County of Međimurje,2022,1.9,729.26,87294.0,82.9,119.7,2.3,101.5,2.8,203937.0,193.8,279.6,2009.0,144.0,105250.0,county,medimurska
County of Međimurje,2023,2.2,729.26,94556.0,89.8,129.7,2.3,94.4,3.1,215597.0,204.8,295.6,2285.0,144.0,105250.0,county,medimurska
County of Međimurje,2024,2.1,729.26,100759.0,95.7,138.2,2.2,101.0,3.1,224739.0,213.5,308.2,2226.0,144.0,105250.0,county,medimurska
County of Osijek-Baranja,2021,1.4,4148.0,75351.0,29.2,18.2,2.1,45.5,0.9,161056.0,62.4,38.8,3542.0,62.0,258026.0,county,osjecko baranjska
County of Osijek-Baranja,2022,1.6,4148.0,107945.0,41.8,26.0,2.0,52.2,1.0,218462.0,84.7,52.7,4186.0,62.0,258026.0,county,osjecko baranjska
County of Osijek-Baranja,2023,1.7,4148.0,124258.0,48.2,30.0,2.0,57.0,1.1,253118.0,98.1,61.0,4440.0,62.0,258026.0,county,osjecko baranjska
County of Osijek-Baranja,2024,2.0,4148.0,137291.0,53.2,33.1,1.9,51.8,1.2,265554.0,102.9,64.0,5124.0,62.0,258026.0,county,osjecko baranjska
County of Požega-Slavonia,2021,1.8,1822.65,14858.0,23.2,8.2,2.5,31.9,0.6,37669.0,58.8,20.7,1180.0,35.0,64084.0,county,pozesko slavonska
County of Požega-Slavonia,2022,1.9,1822.65,22763.0,35.5,12.5,2.7,51.5,0.7,61067.0,95.3,33.5,1186.0,35.0,64084.0,county,pozesko slavonska
County of Požega-Slavonia,2023,2.7,1822.65,24559.0,38.3,13.5,2.6,37.4,1.0,64782.0,101.1,35.5,1733.0,35.0,64084.0,county,pozesko slavonska
County of Požega-Slavonia,2024,2.2,1822.65,25572.0,39.9,14.0,2.6,48.1,0.8,66678.0,104.0,36.6,1387.0,35.0,64084.0,county,pozesko slavonska
County of Primorje-Gorski kotar,2021,69.5,3589.34,2212424.0,833.6,616.4,5.6,67.5,51.4,12446206.0,4689.3,3467.5,184438.0,74.0,265419.0,county,primorsko goranska
County of Primorje-Gorski kotar,2022,71.1,3589.34,2918929.0,1099.7,813.2,5.3,82.2,52.6,15512719.0,5844.6,4321.9,188693.0,74.0,265419.0,county,primorsko goranska
County of Primorje-Gorski kotar,2023,72.1,3589.34,3071852.0,1157.4,855.8,5.1,81.5,53.3,15599876.0,5877.5,4346.2,191487.0,74.0,265419.0,county,primorsko goranska
