"Table 1.1 Tourist arrivals and nights, Croatia, monthly"

"Month","2020 total arrivals","2020 total nights","2020 domestic arrivals","2020 domestic nights","2020 foreign arrivals","2020 foreign nights","2021 total arrivals","2021 total nights","2021 domestic arrivals","2021 domestic nights","2021 foreign arrivals","2021 foreign nights","2022 total arrivals","2022 total nights","2022 domestic arrivals","2022 domestic nights","2022 foreign arrivals","2022 foreign nights","2023 total arrivals","2023 total nights","2023 domestic arrivals","2023 domestic nights","2023 foreign arrivals","2023 foreign nights","2024 total arrivals","2024 total nights","2024 domestic arrivals","2024 domestic nights","2024 foreign arrivals","2024 foreign nights","2025 total arrivals","2025 total nights","2025 domestic arrivals","2025 domestic nights","2025 foreign arrivals","2025 foreign nights"
"Total",7001128,40794455,1455849,5415391,5545279,35379064,12775794,70201959,2134985,7354132,10640809,62847827,17774958,90040177,2451209,7752665,15323749,82287512,19492931,92376832,2638062,8113228,16854869,84263604,20246060,93683814,2867339,8719930,17378721,84963884,....,....,....,....,....,....
"January",219733,544760,97195,223590,122538,321170,87634,249008,71235,173395,16399,75613,172868,505304,99362,245189,73506,260115,228812,601677,114227,252929,114585,348748,231187,594373,113329,251190,117858,343183,257305,650315,124887,267891,132418,382424
"February",278741,610491,106731,214816,172010,395675,104074,245157,83717,166224,20357,78933,225511,569927,109806,235526,115705,334401,272499,651330,129235,261765,143264,389565,312454,703103,143053,287581,169401,415522,313006,707808,154409,301259,158597,406549
"March",104391,289621,43261,105928,61130,183693,132625,359614,87978,184123,44647,175491,314954,812169,123788,253792,191166,558377,424383,982479,151332,300451,273051,682028,536633,1321636,165754,346300,370879,975336,433403,1002274,173547,346377,259856,655897
"April",2241,34063,1483,8062,758,26001,219621,668067,121258,272392,98363,395675,832685,2525348,190769,428133,641916,2097215,1090829,3041485,220346,494415,870483,2547070,1031038,2774747,217565,465369,813473,2309378,1183877,3286252,227662,477471,956215,2808781
"May",62049,166975,30501,65803,31548,101172,407230,1501764,132310,308239,274920,1193525,1231194,4263842,254882,563053,976312,3700789,1624219,5571102,250792,568273,1373427,5002829,1941800,6904300,283185,618917,1658615,6285383,1842725,5869285,332573,748480,1510152,5120805
"June",797696,3588684,156180,456937,641516,3131747,1370500,6517534,275211,854363,1095289,5663171,2658688,13070561,289528,904160,2369160,12166401,2733256,13184779,287755,904853,2445501,12279926,2825541,12523195,293887,909837,2531654,11613358,3180716,14340174,346703,1074332,2834013,13265842
"July",2245831,14666043,277404,1324271,1968427,13341772,3532751,20956215,367727,1731519,3165024,19224696,4341204,25263854,335216,1578055,4005988,23685799,4508575,25043386,351220,1618068,4157355,23425318,4416247,25175760,376510,1747928,4039737,23427832,4358517,24962080,382390,1754644,3976127,23207436
"August",2467957,16697261,412158,2171352,2055799,14525909,4067300,26198107,395740,2236043,3671560,23962064,4378820,27528229,366067,1998590,4012753,25529639,4435764,26898565,372492,2022068,4063272,24876497,4692918,27185261,446581,2256680,4246337,24928581,4714658,26711796,466162,2322384,4248496,24389412
"September",488212,3126065,133333,409387,354879,2716678,1760678,10190746,194798,586219,1565880,9604527,2073422,11132132,206019,600884,1867403,10531248,2391616,11574393,234502,649583,2157114,10924810,2282852,11181195,229432,673104,2053420,10508091,2413760,11882380,256545,724409,2157215,11157971
"October",184593,617927,95791,211064,88802,406863,636814,2185746,174813,375705,462001,1810041,891951,2827514,200605,420757,691346,2406757,1024816,3165332,209777,440045,815039,2725287,1120818,3450978,223037,455315,897781,2995663,1146146,3535148,239376,480248,906770,3054900
"November",87224,268598,55042,122388,32182,146210,220572,576070,112805,238674,107767,337396,324185,801194,139989,274760,184196,526434,368797,823136,155309,297971,213488,525165,444234,988958,203016,389604,241218,599354,414355,931671,196216,379783,218139,551888
"December",62460,183967,46770,101793,15690,82174,235995,553931,117393,227236,118602,326695,329476,740103,135178,249766,194298,490337,389365,839168,161075,302807,228290,536361,410338,880308,171990,318105,238348,562203,....,....,....,....,....,....
