year,month,month_name,domestic_arrivals,domestic_nights,foreign_arrivals,foreign_nights,total_arrivals,total_nights
2020,1,January,97195.0,223590.0,122538.0,321170.0,219733.0,544760.0
2020,2,February,106731.0,214816.0,172010.0,395675.0,278741.0,610491.0
2020,3,March,43261.0,105928.0,61130.0,183693.0,104391.0,289621.0
2020,4,April,1483.0,8062.0,758.0,26001.0,2241.0,34063.0
2020,5,May,30501.0,65803.0,31548.0,101172.0,62049.0,166975.0
2020,6,June,156180.0,456937.0,641516.0,3131747.0,797696.0,3588684.0
2020,7,July,277404.0,1324271.0,1968427.0,13341772.0,2245831.0,14666043.0
2020,8,August,412158.0,2171352.0,2055799.0,14525909.0,2467957.0,16697261.0
2020,9,September,133333.0,409387.0,354879.0,2716678.0,488212.0,3126065.0
2020,10,October,95791.0,211064.0,88802.0,406863.0,184593.0,617927.0
2020,11,November,55042.0,122388.0,32182.0,146210.0,87224.0,268598.0
2020,12,December,46770.0,101793.0,15690.0,82174.0,62460.0,183967.0
2021,1,January,71235.0,173395.0,16399.0,75613.0,87634.0,249008.0
2021,2,February,83717.0,166224.0,20357.0,78933.0,104074.0,245157.0
2021,3,March,87978.0,184123.0,44647.0,175491.0,132625.0,359614.0
2021,4,April,121258.0,272392.0,98363.0,395675.0,219621.0,668067.0
2021,5,May,132310.0,308239.0,274920.0,1193525.0,407230.0,1501764.0
2021,6,June,275211.0,854363.0,1095289.0,5663171.0,1370500.0,6517534.0
2021,7,July,367727.0,1731519.0,3165024.0,19224696.0,3532751.0,20956215.0
2021,8,August,395740.0,2236043.0,3671560.0,23962064.0,4067300.0,26198107.0
2021,9,September,194798.0,586219.0,1565880.0,9604527.0,1760678.0,10190746.0
2021,10,October,174813.0,375705.0,462001.0,1810041.0,636814.0,2185746.0
2021,11,November,112805.0,238674.0,107767.0,337396.0,220572.0,576070.0
2021,12,December,117393.0,227236.0,118602.0,326695.0,235995.0,553931.0
2022,1,January,99362.0,245189.0,73506.0,260115.0,172868.0,505304.0
2022,2,February,109806.0,235526.0,115705.0,334401.0,225511.0,569927.0
2022,3,March,123788.0,253792.0,191166.0,558377.0,314954.0,812169.0
2022,4,April,190769.0,428133.0,641916.0,2097215.0,832685.0,2525348.0
2022,5,May,254882.0,563053.0,976312.0,3700789.0,1231194.0,4263842.0
2022,6,June,289528.0,904160.0,2369160.0,12166401.0,2658688.0,13070561.0
2022,7,July,335216.0,1578055.0,4005988.0,23685799.0,4341204.0,25263854.0
2022,8,August,366067.0,1998590.0,4012753.0,25529639.0,4378820.0,27528229.0
2022,9,September,206019.0,600884.0,1867403.0,10531248.0,2073422.0,11132132.0
2022,10,October,200605.0,420757.0,691346.0,2406757.0,891951.0,2827514.0
2022,11,November,139989.0,274760.0,184196.0,526434.0,324185.0,801194.0
2022,12,December,135178.0,249766.0,194298.0,490337.0,329476.0,740103.0
2023,1,January,114227.0,252929.0,114585.0,348748.0,228812.0,601677.0
2023,2,February,129235.0,261765.0,143264.0,389565.0,272499.0,651330.0
2023,3,March,151332.0,300451.0,273051.0,682028.0,424383.0,982479.0
2023,4,April,220346.0,494415.0,870483.0,2547070.0,1090829.0,3041485.0
2023,5,May,250792.0,568273.0,1373427.0,5002829.0,1624219.0,5571102.0
2023,6,June,287755.0,904853.0,2445501.0,12279926.0,2733256.0,13184779.0
2023,7,July,351220.0,1618068.0,4157355.0,23425318.0,4508575.0,25043386.0
2023,8,August,372492.0,2022068.0,4063272.0,24876497.0,4435764.0,26898565.0
2023,9,September,234502.0,649583.0,2157114.0,10924810.0,2391616.0,11574393.0
2023,10,October,209777.0,440045.0,815039.0,2725287.0,1024816.0,3165332.0
2023,11,November,155309.0,297971.0,213488.0,525165.0,368797.0,823136.0
2023,12,December,161075.0,302807.0,228290.0,536361.0,389365.0,839168.0
2024,1,January,113329.0,251190.0,117858.0,343183.0,231187.0,594373.0
2024,2,February,143053.0,287581.0,169401.0,415522.0,312454.0,703103.0
2024,3,March,165754.0,346300.0,370879.0,975336.0,536633.0,1321636.0
2024,4,April,217565.0,465369.0,813473.0,2309378.0,1031038.0,2774747.0
2024,5,May,283185.0,618917.0,1658615.0,6285383.0,1941800.0,6904300.0
2024,6,June,293887.0,909837.0,2531654.0,11613358.0,2825541.0,12523195.0
2024,7,July,376510.0,1747928.0,4039737.0,23427832.0,4416247.0,25175760.0
2024,8,August,446581.0,2256680.0,4246337.0,24928581.0,4692918.0,27185261.0
2024,9,September,229432.0,673104.0,2053420.0,10508091.0,2282852.0,11181195.0
2024,10,October,223037.0,455315.0,897781.0,2995663.0,1120818.0,3450978.0
2024,11,November,203016.0,389604.0,241218.0,599354.0,444234.0,988958.0
2024,12,December,171990.0,318105.0,238348.0,562203.0,410338.0,880308.0
2025,1,January,124887.0,267891.0,132418.0,382424.0,257305.0,650315.0
2025,2,February,154409.0,301259.0,158597.0,406549.0,313006.0,707808.0
2025,3,March,173547.0,346377.0,259856.0,655897.0,433403.0,1002274.0
2025,4,April,227662.0,477471.0,956215.0,2808781.0,1183877.0,3286252.0
2025,5,May,332573.0,748480.0,1510152.0,5120805.0,1842725.0,5869285.0
2025,6,June,346703.0,1074332.0,2834013.0,13265842.0,3180716.0,14340174.0
2025,7,July,382390.0,1754644.0,3976127.0,23207436.0,4358517.0,24962080.0
2025,8,August,466162.0,2322384.0,4248496.0,24389412.0,4714658.0,26711796.0
2025,9,September,256545.0,724409.0,2157215.0,11157971.0,2413760.0,11882380.0
2025,10,October,239376.0,480248.0,906770.0,3054900.0,1146146.0,3535148.0
2025,11,November,196216.0,379783.0,218139.0,551888.0,414355.0,931671.0
