"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Republic of Croatia",3871833,56561.50,68,1086644,12775794,70201959,330.0,1813.1,225.9,1241.2,28.1,19.2,5.5,64.6,3871833,56561.50,68,1128454,17774958,90040177,459.1,2325.5,314.3,1591.9,29.1,20.0,5.1,79.8,3871833,56561.50,68,1150436,19492931,92376832,503.5,2385.9,344.6,1633.2,29.7,20.3,4.7,80.3,3871833,56561.50,68,1179090,20246060,93683814,522.9,2419.6,357.9,1656.3,30.5,20.8,4.6,79.5
"Panonian Croatia",1019535,23200.65,44,25512,410262,809354,40.2,79.4,17.7,34.9,2.5,1.1,2.0,31.7,1019535,23200.65,44,27662,597199,1170675,58.6,114.8,25.7,50.5,2.7,1.2,2.0,42.3,1019535,23200.65,44,28112,700815,1336557,68.7,131.1,30.2,57.6,2.8,1.2,1.9,47.5,1019535,23200.65,44,31741,720342,1361794,70.7,133.6,31.0,58.7,3.1,1.4,1.9,42.9
"County of Sisak-Moslavina",139603,4466.76,31,1270,13357,32801,9.6,23.5,3.0,7.3,0.9,0.3,2.5,25.8,139603,4466.76,31,1337,23613,55490,16.9,39.7,5.3,12.4,1.0,0.3,2.3,41.5,139603,4466.76,31,1441,25457,57887,18.2,41.5,5.7,13.0,1.0,0.3,2.3,40.2,139603,4466.76,31,1691,29724,73167,21.3,52.4,6.7,16.4,1.2,0.4,2.5,43.3
"Donji Kukuruzari",1080,113.89,9,-,-,-,-,-,-,-,-,-,-,-,1080,113.89,9,-,-,-,-,-,-,-,-,-,-,-,1080,113.89,9,-,-,-,-,-,-,-,-,-,-,-,1080,113.89,9,-,-,-,-,-,-,-,-,-,-,-
"Dvor",2996,505.69,5,-,-,-,-,-,-,-,-,-,-,-,2996,505.69,5,19,z,z,z,z,z,z,0.6,0.0,z,z,2996,505.69,5,23,z,z,z,z,z,z,0.8,0.0,z,z,2996,505.69,5,33,z,z,z,z,z,z,1.1,0.1,z,z
"Glina",7116,544.20,13,16,160,1086,2.2,15.3,0.3,2.0,0.2,0.0,6.8,67.9,7116,544.20,13,16,127,1103,1.8,15.5,0.2,2.0,0.2,0.0,8.7,68.9,7116,544.20,13,20,150,1132,2.1,15.9,0.3,2.1,0.3,0.0,7.5,56.6,7116,544.20,13,17,z,z,z,z,z,z,0.2,0.0,z,z
"Gvozd",2047,212.36,9,3,z,z,z,z,z,z,0.1,0.0,z,z,2047,212.36,9,3,z,z,z,z,z,z,0.1,0.0,z,z,2047,212.36,9,-,-,-,-,-,-,-,-,-,-,-,2047,212.36,9,6,z,z,z,z,z,z,0.3,0.0,z,z
"Hrvatska Dubica",1462,129.57,11,15,z,z,z,z,z,z,1.0,0.1,z,z,1462,129.57,11,15,z,z,z,z,z,z,1.0,0.1,z,z,1462,129.57,11,15,z,z,z,z,z,z,1.0,0.1,z,z,1462,129.57,11,15,z,z,z,z,z,z,1.0,0.1,z,z
"Hrvatska Kostajnica",1879,52.49,35,40,z,z,z,z,z,z,2.1,0.8,z,z,1879,52.49,35,34,z,z,z,z,z,z,1.8,0.6,z,z,1879,52.49,35,46,z,z,z,z,z,z,2.4,0.9,z,z,1879,52.49,35,48,343,747,18.3,39.8,6.5,14.2,2.6,0.9,2.2,15.6
"Jasenovac",1559,163.93,9,29,z,z,z,z,z,z,1.9,0.2,z,z,1559,163.93,9,40,z,z,z,z,z,z,2.6,0.2,z,z,1559,163.93,9,46,z,z,z,z,z,z,3.0,0.3,z,z,1559,163.93,9,41,z,z,z,z,z,z,2.6,0.3,z,z
"Kutina",19601,294.81,66,199,3489,5157,17.8,26.3,11.8,17.5,1.0,0.7,1.5,25.9,19601,294.81,66,230,7223,10418,36.9,53.2,24.5,35.3,1.2,0.8,1.4,45.3,19601,294.81,66,227,8253,12242,42.1,62.5,28.0,41.5,1.2,0.8,1.5,53.9,19601,294.81,66,254,8178,12771,41.7,65.2,27.7,43.3,1.3,0.9,1.6,50.3
"Lekenik",5343,228.18,23,69,z,z,z,z,z,z,1.3,0.3,z,z,5343,228.18,23,69,z,z,z,z,z,z,1.3,0.3,z,z,5343,228.18,23,61,z,z,z,z,z,z,1.1,0.3,z,z,5343,228.18,23,85,832,2337,15.6,43.7,3.6,10.2,1.6,0.4,2.8,27.5
"Lipovljani",2807,103.37,27,3,z,z,z,z,z,z,0.1,0.0,z,z,2807,103.37,27,3,z,z,z,z,z,z,0.1,0.0,z,z,2807,103.37,27,3,z,z,z,z,z,z,0.1,0.0,z,z,2807,103.37,27,13,z,z,z,z,z,z,0.5,0.1,z,z
"Majur",760,67.42,11,-,-,-,-,-,-,-,-,-,-,-,760,67.42,11,-,-,-,-,-,-,-,-,-,-,-,760,67.42,11,-,-,-,-,-,-,-,-,-,-,-,760,67.42,11,-,-,-,-,-,-,-,-,-,-,-
"Martinska Ves",2861,125.84,22,12,z,z,z,z,z,z,0.4,0.1,z,z,2861,125.84,22,12,z,z,z,z,z,z,0.4,0.1,z,z,2861,125.84,22,6,z,z,z,z,z,z,0.2,0.0,z,z,2861,125.84,22,10,z,z,z,z,z,z,0.3,0.1,z,z
"Novska",11137,319.78,34,72,185,445,1.7,4.0,0.6,1.4,0.6,0.2,2.4,6.2,11137,319.78,34,67,161,404,1.4,3.6,0.5,1.3,0.6,0.2,2.5,6.0,11137,319.78,34,98,497,740,4.5,6.6,1.6,2.3,0.9,0.3,1.5,7.6,11137,319.78,34,140,793,1108,7.1,9.9,2.5,3.5,1.3,0.4,1.4,7.9
"Petrinja",19950,379.26,52,79,308,955,1.5,4.8,0.8,2.5,0.4,0.2,3.1,12.1,19950,379.26,52,112,374,1193,1.9,6.0,1.0,3.1,0.6,0.3,3.2,10.7,19950,379.26,52,113,743,1986,3.7,10.0,2.0,5.2,0.6,0.3,2.7,17.6,19950,379.26,52,180,947,2485,4.7,12.5,2.5,6.6,0.9,0.5,2.6,13.8
"Popovaèa",10255,214.75,47,71,659,1476,6.4,14.4,3.1,6.9,0.7,0.3,2.2,20.8,10255,214.75,47,57,978,2545,9.5,24.8,4.6,11.9,0.6,0.3,2.6,44.6,10255,214.75,47,81,766,2325,7.5,22.7,3.6,10.8,0.8,0.4,3.0,28.7,10255,214.75,47,110,1167,2718,11.4,26.5,5.4,12.7,1.1,0.5,2.3,24.7
"Sisak",40121,421.39,95,371,3490,7362,8.7,18.3,8.3,17.5,0.9,0.9,2.1,19.8,40121,421.39,95,360,7660,14873,19.1,37.1,18.2,35.3,0.9,0.9,1.9,41.3,40121,421.39,95,381,7926,14502,19.8,36.1,18.8,34.4,0.9,0.9,1.8,38.1,40121,421.39,95,404,8698,17489,21.7,43.6,20.6,41.5,1.0,1.0,2.0,43.3
"Sunja",4124,288.27,14,6,z,z,z,z,z,z,0.1,0.0,z,z,4124,288.27,14,6,z,z,z,z,z,z,0.1,0.0,z,z,4124,288.27,14,6,z,z,z,z,z,z,0.1,0.0,z,z,4124,288.27,14,8,z,z,z,z,z,z,0.2,0.0,z,z
"Topusko",2222,198.68,11,275,z,z,z,z,z,z,12.4,1.4,z,z,2222,198.68,11,284,z,z,z,z,z,z,12.8,1.4,z,z,2222,198.68,11,303,4648,18951,209.2,852.9,23.4,95.4,13.6,1.5,4.1,62.5,2222,198.68,11,290,z,z,z,z,z,z,13.1,1.5,z,z
"Velika Ludina",2283,102.88,22,10,z,z,z,z,z,z,0.4,0.1,z,z,2283,102.88,22,10,z,z,z,z,z,z,0.4,0.1,z,z,2283,102.88,22,12,z,z,z,z,z,z,0.5,0.1,z,z,2283,102.88,22,37,949,2145,41.6,94.0,9.2,20.8,1.6,0.4,2.3,58.0
"County of Karlovac",112195,3624.42,31,14183,219858,400388,196.0,356.9,60.7,110.5,12.6,3.9,1.8,28.2,112195,3624.42,31,15207,292865,553213,261.0,493.1,80.8,152.6,13.6,4.2,1.9,36.4,112195,3624.42,31,14568,345613,622764,308.0,555.1,95.4,171.8,13.0,4.0,1.8,42.7,112195,3624.42,31,16621,336919,599607,300.3,534.4,93.0,165.4,14.8,4.6,1.8,36.1
"Bariloviæ",2673,175.60,15,70,742,2397,27.8,89.7,4.2,13.7,2.6,0.4,3.2,34.2,2673,175.60,15,78,803,2712,30.0,101.5,4.6,15.4,2.9,0.4,3.4,34.8,2673,175.60,15,88,1443,3933,54.0,147.1,8.2,22.4,3.3,0.5,2.7,44.7,2673,175.60,15,113,1221,3941,45.7,147.4,7.0,22.4,4.2,0.6,3.2,34.9
